LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2866,2866,0,0.3946095407009125,1742.2726393624866,623.2831374670803,0.0,84.0,84,8.0,1,,5.289592760180995,1.0,0.0,28.0,1169.0,7.434399793389326,0.8263026816690334,0.6438322491997369
ID3122,3122,0,0.4042963683605194,1989.890185634235,770.0326973208269,0.0,111.0,111,8.0,1,,5.601809954751131,2.0,0.0,36.0,1238.0,7.674325340800055,0.8068677841193189,0.6519197845384533
ID2102,2102,0,0.3988648056983948,1914.377067168649,984.7467140664447,0.0,13.0,13,8.0,1,,5.244343891402715,1.0,0.0,27.0,1159.0,7.207573488372632,0.8716725335659324,0.6777282254628888
ID2616,2616,0,0.4388248026371002,1898.8742201595403,903.6172471405189,0.0,59.0,59,8.0,1,,5.647058823529412,3.0,0.0,33.0,1248.0,7.235163687359651,0.9042488061711765,0.7412559601955095
ID3385,3385,0,0.4245968759059906,1864.8605540663307,686.3006690269501,0.0,131.0,131,8.0,1,,5.32579185520362,2.0,0.0,29.0,1177.0,7.137781354564577,0.8775880977965858,0.6974953960725662
ID2618,2618,0,0.41308048367500305,1959.0938167119016,735.6879536030666,0.0,67.0,67,8.0,1,,5.778280542986425,3.0,0.0,26.0,1277.0,6.786395397011159,0.8411732836121437,0.7780011985727049
ID2363,2363,0,0.4321659505367279,1837.5820975170068,739.2905917992778,0.0,31.0,31,8.0,1,,6.113122171945701,3.0,0.0,31.0,1351.0,7.519118645674735,0.7639883213208433,0.704234257617919
ID2876,2876,0,0.36515066027641296,1764.6567786544892,608.7256319510992,0.0,86.0,86,8.0,1,,5.1855203619909505,1.0,0.0,33.0,1146.0,7.465494462452013,0.7944044470594773,0.6150141270098527
ID2112,2112,0,0.4151533842086792,1901.1991009695305,985.6336014224083,0.0,15.0,15,8.0,1,,4.48868778280543,1.0,0.0,27.0,992.0,7.183700527601296,0.8243781715803693,0.5646935032699454
ID3138,3138,0,0.40504252910614014,1959.3386016201425,853.5528753630477,0.0,115.0,115,8.0,1,,5.334841628959276,2.0,0.0,34.0,1179.0,7.568241575358603,0.895284438286635,0.6659523870048651
